DEPART ,ATKINSON HALL,daVinci INSTITUTE,ATKINSON HALL,ARRIVAL ,
7:20,7:35,7:37,7:40,7:55,
8:20,8:35,-,8:45,9:00,
10:20,10:35,-,10:45,11:00,
11:20,11:35,-,11:45,12:00,
12:20,12:35,12:40,12:45,1:00,
2:20,2:35,3:05,3:15,3:30,
5:10,5:25,-,5:25,5:45,
-,9:15,-,9:15,9:30,
,,,,,
